model,parameter,repeat,true_value,estimate,error
prototype_similarity,alt_weight,20,0.231228,0.210654,-0.02057399999999998
prototype_similarity,beta,20,8.181501,7.996834,-0.18466700000000102
prototype_similarity,side_bias,20,1.25619,1.184582,-0.0716079999999999
prototype_similarity,theta_alt,21,0.561166,0.571429,0.010262999999999911
prototype_similarity,alt_weight,21,0.406014,0.378846,-0.02716799999999997
prototype_similarity,beta,21,1.416819,0.524457,-0.8923620000000001
prototype_similarity,side_bias,21,1.502196,1.39514,-0.10705600000000004
prototype_similarity,theta_alt,22,0.484717,0.361545,-0.123172
prototype_similarity,alt_weight,22,0.407256,0.316606,-0.09065000000000001
prototype_similarity,beta,22,6.004895,6.317377,0.31248199999999926
prototype_similarity,side_bias,22,-1.957629,-1.908936,0.0486930000000001
prototype_similarity,theta_alt,23,0.674117,0.644622,-0.029494999999999938
prototype_similarity,alt_weight,23,0.484723,0.502108,0.017384999999999984
prototype_similarity,beta,23,9.1365,8.286752,-0.849748
prototype_similarity,side_bias,23,0.038995,0.383121,0.344126
prototype_similarity,theta_alt,24,0.451053,0.393871,-0.057181999999999955
prototype_similarity,alt_weight,24,0.842572,0.99,0.147428
prototype_similarity,beta,24,0.762514,1.375007,0.6124930000000001
prototype_similarity,side_bias,24,0.860626,1.208961,0.34833499999999995
prototype_similarity,theta_alt,25,0.887316,0.855625,-0.031691000000000025
prototype_similarity,alt_weight,25,0.871085,0.90288,0.03179500000000002
prototype_similarity,beta,25,6.325743,6.933289,0.6075460000000001
prototype_similarity,side_bias,25,-0.794946,-0.683334,0.11161200000000004
prototype_similarity,theta_alt,26,0.835531,0.865918,0.030386999999999942
prototype_similarity,alt_weight,26,0.749495,0.49165,-0.25784500000000005
prototype_similarity,beta,26,1.836849,3.37462,1.5377710000000002
prototype_similarity,side_bias,26,0.758511,0.567947,-0.19056400000000007
prototype_similarity,theta_alt,27,0.441681,0.571428,0.12974700000000006
prototype_similarity,alt_weight,27,0.129546,0.20177,0.07222400000000001
prototype_similarity,beta,27,5.732876,7.016142,1.2832660000000002
prototype_similarity,side_bias,27,-0.487208,-0.376666,0.11054199999999997
prototype_similarity,theta_alt,28,0.615711,0.35,-0.26571100000000003
prototype_similarity,alt_weight,28,0.103882,0.01,-0.09388200000000001
prototype_similarity,beta,28,7.24897,6.558091,-0.6908789999999998
prototype_similarity,side_bias,28,-0.006399,-0.13989,-0.133491
prototype_similarity,theta_alt,29,0.855117,0.810773,-0.04434400000000005
prototype_similarity,alt_weight,29,0.499318,0.605946,0.106628
prototype_similarity,beta,29,7.276424,7.593422,0.3169980000000008
prototype_similarity,side_bias,29,-0.107591,-0.144282,-0.03669099999999999
prototype_similarity,theta_alt,30,0.675828,0.662736,-0.013091999999999993
prototype_similarity,alt_weight,30,0.691422,0.81736,0.125938
prototype_similarity,beta,30,10.643865,8.181097,-2.4627680000000005
prototype_similarity,side_bias,30,-0.206995,-0.120621,0.086374
prototype_similarity,theta_alt,31,0.607516,0.595167,-0.012348999999999943
prototype_similarity,alt_weight,31,0.537311,0.546554,0.009243000000000001
prototype_similarity,beta,31,11.882464,12.0,0.11753599999999942
prototype_similarity,side_bias,31,-0.087079,0.076036,0.163115
prototype_similarity,theta_alt,32,0.849872,0.95,0.100128
prototype_similarity,alt_weight,32,0.652526,0.407497,-0.24502900000000005
prototype_similarity,beta,32,2.624481,2.123221,-0.5012599999999998
prototype_similarity,side_bias,32,1.574294,1.663071,0.08877699999999988
prototype_similarity,theta_alt,33,0.8597,0.812151,-0.04754900000000006
prototype_similarity,alt_weight,33,0.14206,0.178079,0.036018999999999995
prototype_similarity,beta,33,10.232651,12.0,1.7673489999999994
