model,parameter,true_value,mean_estimate,bias,rmse,estimate_sd,n_repeats,ci_coverage_95
bayesian_diagnosticity,alt_prior,0.4,0.3792759,-0.02072410000000002,0.045240352653355846,0.04021444003576328,20,1.0
bayesian_diagnosticity,bias_share,0.45,0.51326245,0.06326245,0.08174080460669567,0.05176312932722963,20,1.0
bayesian_diagnosticity,beta,4.0,4.7347988,0.7347988,0.9804762157923566,0.6491566322953651,20,1.0
bayesian_diagnosticity,side_bias,0.0,-0.014991649999999999,-0.014991649999999999,0.21026138740898195,0.20972625363894595,20,0.9
