participant_id,participant_id_str,trial_index,sequence_a,sequence_b,chose_left,chose_right,model,n_a,h_a,alts_a,max_run_a,n_b,h_b,alts_b,max_run_b,p_a,p_alts_a,max_run_norm_a,imbalance_a,periodicity_a,p_b,p_alts_b,max_run_norm_b,imbalance_b,periodicity_b
0,subjective_randomness_run1_20260617_230228_p0,49,HTHHT,THTH,1,0,,5,3,3,2,4,2,3,1,0.6,0.75,0.25,0.19999999999999996,0.19999999999999996,0.5,1.0,0.0,0.0,1.0
0,subjective_randomness_run1_20260617_230228_p0,51,HTHTHTH,TTTHTTTT,1,0,,7,4,6,1,8,1,2,4,0.5714285714285714,1.0,0.0,0.1428571428571428,1.0,0.125,0.2857142857142857,0.42857142857142855,0.75,0.75
0,subjective_randomness_run1_20260617_230228_p0,53,HTTHTHH,THTH,1,0,,7,4,4,2,4,2,3,1,0.5714285714285714,0.6666666666666666,0.16666666666666666,0.1428571428571428,0.7142857142857142,0.5,1.0,0.0,0.0,1.0
0,subjective_randomness_run1_20260617_230228_p0,55,THTHT,TTTHTTHT,1,0,,5,2,4,1,8,2,4,3,0.4,1.0,0.0,0.19999999999999996,1.0,0.25,0.5714285714285714,0.2857142857142857,0.5,0.5
0,subjective_randomness_run1_20260617_230228_p0,57,TTTT,THHTHHT,1,0,,4,0,0,4,7,4,4,2,0.0,0.0,1.0,1.0,1.0,0.5714285714285714,0.6666666666666666,0.16666666666666666,0.1428571428571428,1.0
0,subjective_randomness_run1_20260617_230228_p0,59,HHTH,HTHT,1,0,,4,3,2,2,4,2,3,1,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,1.0,0.0,0.0,1.0
0,subjective_randomness_run1_20260617_230228_p0,61,HTHT,TTTH,1,0,,4,2,3,1,4,1,1,3,0.5,1.0,0.0,0.0,1.0,0.25,0.3333333333333333,0.6666666666666666,0.5,0.5
0,subjective_randomness_run1_20260617_230228_p0,63,HHHHT,HTHT,1,0,,5,4,1,4,4,2,3,1,0.8,0.25,0.75,0.6000000000000001,0.6000000000000001,0.5,1.0,0.0,0.0,1.0
0,subjective_randomness_run1_20260617_230228_p0,65,THTHTH,TTHT,1,0,,6,3,5,1,4,1,2,2,0.5,1.0,0.0,0.0,1.0,0.25,0.6666666666666666,0.3333333333333333,0.5,0.5
1,subjective_randomness_run1_20260617_230228_p1,3,TTHTH,HTHT,1,0,,5,2,3,2,4,2,3,1,0.4,0.75,0.25,0.19999999999999996,0.19999999999999996,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,5,HHTH,THTHTHHT,1,0,,4,3,2,2,8,4,6,2,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.8571428571428571,0.14285714285714285,0.0,0.5
1,subjective_randomness_run1_20260617_230228_p1,7,HTHTHTH,TTTHTTTT,1,0,,7,4,6,1,8,1,2,4,0.5714285714285714,1.0,0.0,0.1428571428571428,1.0,0.125,0.2857142857142857,0.42857142857142855,0.75,0.75
1,subjective_randomness_run1_20260617_230228_p1,9,THHTHTHT,TTTHT,1,0,,8,4,6,2,5,1,2,3,0.5,0.8571428571428571,0.14285714285714285,0.0,0.5,0.2,0.5,0.5,0.6,0.6000000000000001
1,subjective_randomness_run1_20260617_230228_p1,11,HHHHT,HTHT,1,0,,5,4,1,4,4,2,3,1,0.8,0.25,0.75,0.6000000000000001,0.6000000000000001,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,13,HTHT,HTTHT,1,0,,4,2,3,1,5,2,3,2,0.5,1.0,0.0,0.0,1.0,0.4,0.75,0.25,0.19999999999999996,0.0
1,subjective_randomness_run1_20260617_230228_p1,15,HTTHTT,THTH,1,0,,6,2,3,2,4,2,3,1,0.3333333333333333,0.6,0.2,0.33333333333333337,1.0,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,17,HTHT,THTTH,1,0,,4,2,3,1,5,2,3,2,0.5,1.0,0.0,0.0,1.0,0.4,0.75,0.25,0.19999999999999996,0.19999999999999996
1,subjective_randomness_run1_20260617_230228_p1,19,TTTT,HTHT,1,0,,4,0,0,4,4,2,3,1,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,21,THTHT,TTTHTTHT,1,0,,5,2,4,1,8,2,4,3,0.4,1.0,0.0,0.19999999999999996,1.0,0.25,0.5714285714285714,0.2857142857142857,0.5,0.5
1,subjective_randomness_run1_20260617_230228_p1,23,HTHHT,THTH,1,0,,5,3,3,2,4,2,3,1,0.6,0.75,0.25,0.19999999999999996,0.19999999999999996,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,25,HHTH,HTHT,1,0,,4,3,2,2,4,2,3,1,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,27,TTTHTHTT,HHTHTHT,1,0,,8,2,4,3,7,4,5,2,0.25,0.5714285714285714,0.2857142857142857,0.5,0.5,0.5714285714285714,0.8333333333333334,0.16666666666666666,0.1428571428571428,0.1428571428571428
1,subjective_randomness_run1_20260617_230228_p1,29,HHHHHHH,HTHT,1,0,,7,7,0,7,4,2,3,1,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,31,TTHTTH,THTH,1,0,,6,2,3,2,4,2,3,1,0.3333333333333333,0.6,0.2,0.33333333333333337,1.0,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,33,HHTHT,TTTTTTT,1,0,,5,3,3,2,7,0,0,7,0.6,0.75,0.25,0.19999999999999996,0.19999999999999996,0.0,0.0,1.0,1.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,35,HTHT,TTTH,1,0,,4,2,3,1,4,1,1,3,0.5,1.0,0.0,0.0,1.0,0.25,0.3333333333333333,0.6666666666666666,0.5,0.5
1,subjective_randomness_run1_20260617_230228_p1,37,THHT,TTTT,1,0,,4,2,2,2,4,0,0,4,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,39,HTHTHT,HTTHTTT,1,0,,6,3,5,1,7,2,3,3,0.5,1.0,0.0,0.0,1.0,0.2857142857142857,0.5,0.3333333333333333,0.4285714285714286,0.7142857142857142
1,subjective_randomness_run1_20260617_230228_p1,41,HTHT,HTTHHHTH,1,0,,4,2,3,1,8,5,4,3,0.5,1.0,0.0,0.0,1.0,0.625,0.5714285714285714,0.2857142857142857,0.25,0.75
1,subjective_randomness_run1_20260617_230228_p1,43,THHT,THTHTH,1,0,,4,2,2,2,6,3,5,1,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,45,TTHTTTT,HTHHTT,1,0,,7,1,2,4,6,3,3,2,0.14285714285714285,0.3333333333333333,0.5,0.7142857142857143,0.7142857142857142,0.5,0.6,0.2,0.0,0.6666666666666667
1,subjective_randomness_run1_20260617_230228_p1,47,HTTHTHH,THTH,1,0,,7,4,4,2,4,2,3,1,0.5714285714285714,0.6666666666666666,0.16666666666666666,0.1428571428571428,0.7142857142857142,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,49,HTTTTH,THTH,1,0,,6,2,2,4,4,2,3,1,0.3333333333333333,0.4,0.6,0.33333333333333337,0.33333333333333326,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,51,THTHTH,TTHT,1,0,,6,3,5,1,4,1,2,2,0.5,1.0,0.0,0.0,1.0,0.25,0.6666666666666666,0.3333333333333333,0.5,0.5
1,subjective_randomness_run1_20260617_230228_p1,53,HTHTTHT,TTTHTTHT,1,0,,7,3,5,2,8,2,4,3,0.42857142857142855,0.8333333333333334,0.16666666666666666,0.1428571428571429,0.4285714285714286,0.25,0.5714285714285714,0.2857142857142857,0.5,0.5
1,subjective_randomness_run1_20260617_230228_p1,55,TTTTH,TTTTHHH,1,0,,5,1,1,4,7,3,1,4,0.2,0.25,0.75,0.6,0.6000000000000001,0.42857142857142855,0.16666666666666666,0.5,0.1428571428571429,0.1428571428571428
1,subjective_randomness_run1_20260617_230228_p1,57,HTHTHT,TTTT,1,0,,6,3,5,1,4,0,0,4,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,59,HTHTHT,HTHHHHT,1,0,,6,3,5,1,7,5,3,4,0.5,1.0,0.0,0.0,1.0,0.7142857142857143,0.5,0.5,0.4285714285714286,0.4285714285714286
1,subjective_randomness_run1_20260617_230228_p1,61,HTHT,TTTH,1,0,,4,2,3,1,4,1,1,3,0.5,1.0,0.0,0.0,1.0,0.25,0.3333333333333333,0.6666666666666666,0.5,0.5
1,subjective_randomness_run1_20260617_230228_p1,63,TTHT,THTH,1,0,,4,1,2,2,4,2,3,1,0.25,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,1.0,0.0,0.0,1.0
1,subjective_randomness_run1_20260617_230228_p1,65,TTTT,THHTHHT,1,0,,4,0,0,4,7,4,4,2,0.0,0.0,1.0,1.0,1.0,0.5714285714285714,0.6666666666666666,0.16666666666666666,0.1428571428571428,1.0
2,subjective_randomness_run1_20260617_230228_p2,3,HTTTTH,THTH,1,0,,6,2,2,4,4,2,3,1,0.3333333333333333,0.4,0.6,0.33333333333333337,0.33333333333333326,0.5,1.0,0.0,0.0,1.0
