model,target_accept,mean_leapfrog_steps,median_leapfrog_steps,max_leapfrog_steps,mean_tree_depth,max_tree_depth,divergences,mean_step_size,min_ess,ess_per_1000_leapfrogs,max_rhat,total_leapfrog_steps,wall_clock_s
motif_stack,0.9,38.86625,31.0,127.0,5.194375,7.0,0.0,0.1064404317750886,208.9912476052719,3.3607443412548146,1.0218979667661916,62186.0,86.76141696498962
motif_stack_softmax,0.9,22.4975,23.0,63.0,4.450625,6.0,0.0,0.13006691497457254,378.80220269755546,10.523452680785518,1.0084445936421198,35996.0,52.42383961996529
motif_stack,0.99,142.0925,127.0,383.0,7.02875,9.0,0.0,0.02255780269184257,235.75878972180953,1.0369952219584493,1.0209851852108582,227348.0,251.58176220901078
motif_stack_softmax,0.99,53.4725,63.0,127.0,5.686875,7.0,0.0,0.07059653248724483,484.92863882586124,5.667967633197686,1.0087406540855193,85556.0,109.14340170199284
