model,parameter,repeat,true_value,estimate,error
bayesian_diagnosticity,beta,18,9.077375,9.830146,0.7527709999999992
bayesian_diagnosticity,side_bias,18,-0.971527,-1.278779,-0.3072520000000001
bayesian_diagnosticity,alt_prior,19,0.07103,0.131984,0.060953999999999994
bayesian_diagnosticity,bias_share,19,0.644606,0.331341,-0.313265
bayesian_diagnosticity,beta,19,9.015188,5.889581,-3.1256070000000005
bayesian_diagnosticity,side_bias,19,0.376632,0.473735,0.097103
bayesian_diagnosticity,alt_prior,20,0.910101,0.788378,-0.12172300000000003
bayesian_diagnosticity,bias_share,20,0.79193,0.535798,-0.256132
bayesian_diagnosticity,beta,20,8.460139,9.28865,0.8285110000000007
bayesian_diagnosticity,side_bias,20,-1.840334,-0.125646,1.714688
bayesian_diagnosticity,alt_prior,21,0.543826,0.510788,-0.03303800000000001
bayesian_diagnosticity,bias_share,21,0.110684,0.171964,0.06128
bayesian_diagnosticity,beta,21,11.894263,10.901529,-0.9927340000000004
bayesian_diagnosticity,side_bias,21,0.572316,0.453392,-0.11892400000000003
bayesian_diagnosticity,alt_prior,22,0.282402,0.558238,0.275836
bayesian_diagnosticity,bias_share,22,0.943501,0.649871,-0.29363000000000006
bayesian_diagnosticity,beta,22,3.478047,2.226024,-1.2520230000000003
bayesian_diagnosticity,side_bias,22,0.452134,0.385109,-0.067025
bayesian_diagnosticity,alt_prior,23,0.476722,0.516243,0.03952100000000003
bayesian_diagnosticity,bias_share,23,0.396075,0.551555,0.15548
bayesian_diagnosticity,beta,23,4.406561,4.435746,0.029185000000000016
bayesian_diagnosticity,side_bias,23,-1.664969,-1.594703,0.07026599999999994
bayesian_diagnosticity,alt_prior,24,0.736658,0.787623,0.05096499999999993
bayesian_diagnosticity,bias_share,24,0.064341,0.527977,0.46363600000000005
bayesian_diagnosticity,beta,24,8.493647,9.370647,0.8770000000000007
bayesian_diagnosticity,side_bias,24,0.191668,-0.213111,-0.404779
bayesian_diagnosticity,alt_prior,25,0.618916,0.410693,-0.20822300000000005
bayesian_diagnosticity,bias_share,25,0.147435,0.551079,0.403644
bayesian_diagnosticity,beta,25,1.529749,3.291664,1.761915
bayesian_diagnosticity,side_bias,25,0.0388,0.131825,0.093025
bayesian_diagnosticity,alt_prior,26,0.092745,0.13804,0.045295
bayesian_diagnosticity,bias_share,26,0.320671,0.259772,-0.06089899999999998
bayesian_diagnosticity,beta,26,6.150473,9.393358,3.2428849999999994
bayesian_diagnosticity,side_bias,26,0.438009,0.318558,-0.11945099999999997
bayesian_diagnosticity,alt_prior,27,0.105192,0.101433,-0.0037589999999999985
bayesian_diagnosticity,bias_share,27,0.029158,0.164963,0.135805
bayesian_diagnosticity,beta,27,8.304968,10.138966,1.8339979999999994
bayesian_diagnosticity,side_bias,27,-1.932192,-1.632007,0.3001849999999999
bayesian_diagnosticity,alt_prior,28,0.231692,0.267427,0.03573500000000002
bayesian_diagnosticity,bias_share,28,0.250769,0.120099,-0.13067
bayesian_diagnosticity,beta,28,11.334423,10.632886,-0.7015370000000001
bayesian_diagnosticity,side_bias,28,-0.472183,-0.361728,0.11045500000000003
bayesian_diagnosticity,alt_prior,29,0.955947,0.785205,-0.17074199999999995
bayesian_diagnosticity,bias_share,29,0.673437,0.528652,-0.14478499999999994
bayesian_diagnosticity,beta,29,10.459798,9.374933,-1.0848649999999989
bayesian_diagnosticity,side_bias,29,0.056259,-0.153054,-0.209313
bayesian_diagnosticity,alt_prior,30,0.112925,0.067614,-0.045311000000000004
bayesian_diagnosticity,bias_share,30,0.118435,0.301595,0.18316
bayesian_diagnosticity,beta,30,6.729444,8.599667,1.8702230000000002
bayesian_diagnosticity,side_bias,30,-0.869998,-1.381877,-0.511879
bayesian_diagnosticity,alt_prior,31,0.811889,0.711038,-0.10085100000000002
bayesian_diagnosticity,bias_share,31,0.300391,0.585425,0.28503399999999995
